BASE EMOTION	EMOTION	 BODY AREA	PERSON					
angry	annoyed	Feel that area holding something vibrating. It is moving towards your mouth. Through your throat. Trying to get out.	Hear that person chewing very loudly.					
angry	frustrated	You put your hand on that area to make the vibrating stop. You try to control your breathing. Nothing helps. 	Their lips move but you can't hear them. Yell their name. They can hear you but they act like they don't.					
angry	irritated		 					
angry	upset	Feel how that area is trembling. It is supposed to be solid but something is keeping it from being still. A deep roar is too far from your throat to get out. 	Now is your chance to tell them what you really think. How they made you feel. They look smug. 					
angry	angry		 					
angry	mad	Imagine that area being filled by angry bees. You try to shake them off but they won't leave.	Imagine asking that person for help. They heard you but they don't move. They laugh at you. 					
angry	enraged	Feel and here the loud rumbling in that area. High pressure. Cracks open up to let out lava but the pressure never drops.	Feel the weight of the rock in your hand. Feel the urge of throwing it as hard as you can at the person in front of you. 					
angry	furious	Imagine that area growing and burning and festering like touching an open sore.	Imagine that person betraying you and then shrugging.					
			 					
envious	jealous		 					
envious	envious	Imagine a piece of that area missing. You see it in someone else. No matter how hard you try to bring it back you can’t even reach it.	Imagine them obliviously holding on to your missing piece.					
envious	resentful	Imagine that area beeing filled with black tar. The tar is slowly seeping out. Poisoning the rest of your body.	Imagine pushing them as hard as you can. Did you think it would make you feel better? It won't. 					
			 					
depressed	low	Maybe if you try to clean up that area you'll feel better. You make an attempt but don't know where to start. You give up. 	You avoid making eyecontact with them. The less you engage the less you have to pretend. 					
depressed	down	You fail to remember the last time that area got to experience the rays of our sun. It's damp and cold. 	They try to tell you a joke. You're not sure if you missed the punchline. You don't even bother to pretend.					
depressed	grouchy		 					
depressed	crabby		 					
depressed	cranky		 					
depressed	grumpy	Feel how the area gets hit by gray, gravel like forces from the outside world. The area cannot withstand. 	Hear them complain. 					
depressed	dejected		 					
depressed	bad		 					
depressed	gloomy		 					
depressed	glum		 					
depressed	miserable		 					
depressed	hopeless	Feel the area grow and start to pour out of your body until it fills the room.	You are looking around for them but you can barely see them through the fog.					
depressed	morose		 					
depressed	depressed	Imagine that area inside your body, all of you inside your dirty PJs, afternoon dragging into evening.	They find you laying on the floor next to your bed.					
			 					
confused	doubtful		 					
confused	uncertain		 					
confused	indecisive	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	hesitant		 					
confused	uneasy		 					
confused	confused		 					
confused	perplexed		 					
confused	distrustful		 					
confused	embarrassed		 					
confused	lost		 					
confused	unsure		 					
confused	confounded		 					
			 					
helpless	vulnerable		 					
helpless	alone	Feel the emptiness there. 	They can't see you.					
helpless	distressed		 					
helpless	helpless		 					
helpless	disappointed		 					
helpless	lonely	Feel how deep the black void in that area is. 	You don't exist to them.					
helpless	paralyzed		 					
helpless	useless	Anything you find in that area is waste. 	They don't want your help. They don't want you there.					
			 					
indifferent	tired	Follow that area as it drops down into the ground.	Feel your vision blur as you try to keep listening to them. Try to keep caring. Feel your energy draining.					
indifferent	sluggish	Attempt to scoop it off the floor, feel its weight.	Feel your eyes droop and shoulders slump as you try to get somewhere new with them. It feels impossible.					
indifferent	weary	Follow that area as it drops down into the ground.	Feel your vision blur as you try to keep listening to them. Try to keep caring. Feel your energy draining.					
indifferent	bored		 					
indifferent	indifferent	Feel that area flicker barely into your consciousness then it's gone. Oh well.	Let that person fill up your mind for a moment then let them float by. See how you can play with their presence. Bringing them back and letting them go.					
indifferent	uncaring		 					
			 					
afraid	anxious	Feel how this area has taken over. You’re trying to focus on other parts of your body but it won’t let you. It’s like looking through a jumpy fog.	 					
afraid	nervous		 					
afraid	worried		 					
afraid	timid		 					
afraid	wary		 					
afraid	defensive		 					
afraid	guarded		 					
afraid	afraid		 					
afraid	fearful		 					
afraid	alarmed		 					
afraid	scared		 					
afraid	cowardly		 					
afraid	insecure	You wish this area were smaller, less noticable. Can everyone around you feel it too?	Notice how much more confident they seem. How much more together they seem to have it.					
afraid	troubled	Why does that area stand out to you? There must be something wrong.	You look to them for reassurance but they confirm your uncertainty. Something feels off.					
afraid	terrified		 					
afraid	petrified	There’s no movement there. The walls are like frozen rock but it’s not clear where they begin or end.	Why are they faceless? You’re trying to move away but you can’t. They are getting closer.					
afraid	paranoid	The area is too loud. You need to shift focus. You try to follow one of multiple paths, out to a calmer area in your body. It leads back to the same place. Every time. 	The person is pointing towards something behind you. You turn around and look. There is nothing there. You turn back. They are gone. You can still hear their voice. 					
			 					
hurt	aching		 					
hurt	miffed		 					
hurt	withdrawn		 					
hurt	slighted		 					
hurt	pained		 					
hurt	rejected		 					
hurt	insulted		 					
hurt	distant	Feel that area dissolve. The sensation along with the world surrounding you gets vaguer and vaguer. 	Imagine them moving their lips without any sound leaving their mouth. 					
hurt	crushed		 					
hurt	indignant		 					
			 					
sad	tearful		 					
sad	remorseful		 					
sad	sullen		 					
sad	fragile	Feel that area tremble in a soft high paced manner. If the rhythm is disrupted, you will scatter. 	Feel how you need them to stay. How you want them to hold your hand. 					
sad	wistful		 					
sad	sorrowful		 					
sad	unhappy		 					
sad	mournful	You don't dare to investigate the area too much. Anything that enters runs the risk of dissapearing forever. A deep black hole. Right in the middle.	Are you sure it's really them? You can't see their face. You try to get closer but it's like an unknown force keeps moving them just out of reach. You get whifts of there scent. Or is it mildew? You collapse. They hover above you. Like a heaavy, dense fog. 					
sad	nostalgic	There's a warm inviting glow. You try to put your hand in it but there's a thick, transparent membrane that won't let you through. You watch from a distance. Is there really no way to enter?	If you were to run up and hug them they'd disappear. You just know. So you just stand there. Fighting the urge. 					
sad	melancholy	An ache deep in there, tracing the edges of your organs as it moves upward. You crane my neck, pushing it down as you look away.	See them waving, then tiring out, and finally getting distracted by everyone around them.					
sad	anguished		 					
sad	devastated	The whole area is turning into liquid. Nothing is holdig it together anylonger. 	The stormy water is everywhere. They're drifting away. Do something! Grab them! You can barely see them but you still hear them scream for you. 					
			 					
