afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong	
When did you first realize that you cannot trust yourself?	What’s the worst thing that could happen?	Are you really going to let her get away with that?	What would happen if you text them?	What do you do when all your options are bad?	They get to hold the hand of the one you're thinking of.	You are in a very good place right now.	What are you trying to prove?	They haven't even noticed that you're gone.	Why is it always on me?	How far can this go?	You're not that. You're better.	She is lucky to have you caring that way for her.	Listen	Have you looked at it from his perspective?	You don't need a plan. You already know how to begin.	Why are you pretending that everything is fine?	What truth is left once you have stopped analyzing?	 
Why is your gut and brain never on the same page?	Get another drink!	Doesn't matter how much you ignore it, it’s under your skin already.	Should you?	Why can't you shake that feeling of meaninglessness?	It’s not right.	Can you believe it?	How could this possibly turn out well?	Why are you staring into nothing?	How many times do I need to say it?	What is it about their special energy?	What do you have no patience for?	You made him feel the way he deserves to feel. 	Breathe	Do you think it has to do with her or with you?	You are no different from her. If she can do it, you can.	You look like you need a hand to hold.	You can tell them that they need to take their own responsibility.	 
You know that they know.	Your whole body knows that everything is fine.	Why is your jaw so tense?	What if their response is not at all what you're expecting?	Is every day going to be like this?	Why are you the only one seeing how wrong this is?	Fantasy places like that one actually exist!	Do you ever wonder whether it's worth trying?	Words are pointless. That’s why you can't find them.	How can they ask this of me?	Take a deep look at yourself. There is so much there!	You would never stoop to that level.	Keep making them feel safe.	Release the noise	Could you have changed anything?	Disregard what you have been taught. You know what to do.	The outline of your presence looks brittle.	The truth is, you are scared.	 
The clues are everywhere. Just grab on to the right thoughts. They are in there.	Remember that important project you were working on? It’s just an illusion.	You see the solution so why don't you grab it? You can't reach it can you?	Do you know what you're risking?	Are you just floating in a desert of nothing?	I wish you could be happy for them. Why can't you?	Did you hear what I said? The butterflies in your stomach are making you lose focus.	What have you got to lose?	Making an effort is pointless. That’s why you left your body.	When is it enough?	Let your mind relax.	They're not using their heads the way you do.	Where in your body do you feel it when you feel tender? Feel how that area gets warmer and warmer	Relax your shoulders	Should you have changed anything?	You are full of great ideas.	Your voice is trembling.	You have the confidence to tell them exactly what happened.	 
Reevaluate yourself.	I know you want to play a lovely, dangerous game.	It shouldn't be like this.	What would change everything?	Why does your body feel so heavy?	Why do you feel sick and angry anytime someone brings up her name?	Find the place in yourself that remembers what purpose feels like.	Honestly, what's the point?	You're not present.	What do you care?	Shift your breathing from your lungs to your stomach.	They're lazy. I know you think so too.	There is a glow around you. Do you feel it?	Is there a way to look at it where you only see possibilities? You know there is.	Is there a sweet spot between your expectations and capabilities?	What if you do it in an even more interesting way?	If there is anyone who can keep you from scattering you should tell them.	All you've ever wanted is more.	 
You have put everything together, haven't you? How can you be so sure that the pieces fit?	You know what? Go ahead!	When have you been wronged?	Have you told your mom about it?	Honestly, what's the point?	You are not being recognized the way you should.	Giving the person you are today, how could you possibly regret any of it?	Do you feel alone?	It’s like you're looking out of a window.	What’s the point?	Can a pheasant and a bunny share a special connection?	I think you're the only one actually caring about accuracy.	Who do you think of when you feel tender?	Well done.	How do we take so much for granted when everything is constantly changing?	The only thing that is left when I stop analysing is: I love having you around.	Why is your breathing so shallow? It doesn't go deeper than your chest.	You're ready for this.	 
Get out of your own head.	Go ahead! What’s the harm?	What drives you crazy?	You don't even know what would help clear your mind, do you?	What’s the point?	How could they?	I love that you can't stop smiling	You need to do better next time.	I can barely see you.	Just go with it.	For how long can a knife inside a brain go unnoticed?	I know what you're thinking. They're a waste of human minds.	See how that person has everything they need because of you.	Look at you! You are certainly in control.	Why did you choose not to tell them how you felt?	What else is there to say?	Why do you feel so alone?	You can keep going.	 
When was the last time you really looked over your finances?	You're not scared of the consequences because you are greater than them.	They need to stop acting the way they're acting towards you.	Sigh. What should you do?	Why are you here?	You could kill the next person bragging about having what you don't.	You look relaxed. It's making me feel warm.	You should be more like them.	Are you okay?	It’s all the same.	What about you surprises you?	You are more worthy than others and you know it.	Feel how the warm area spreads and gets bigger.	You are special and you know exactly in what way.	Your breath is steady and deep.	There is nothing you are afraid of.	You can be so close to someone one day and gone the next.	You want this.	 
Did you turn off the stove before you left?	Nothing scares you.	If they don’t stop you will end up hating them.	Maybe you could? Just for a little bit?	What’s so special about anything?	You could be happier if things were different.	You attract such wonderful people.	You should care about the right things.	Can you hear me?	It doesn’t matter.	What proves that everything is relative?	Look at how fake they are!	Remember what it felt like the first time you kissed them.	Let that newest insight sink in for a bit.	Can you feel the air touching your face?	You have all the power.	Could you stay in place if you were less reckless, more content?	How much do you want this?	 
Do you smell gas? I think I smell gas.	You got fired? Good for you! New beginnings!	There are no winners.	You are standing at the intersection of two different realities.	Why would anyone care?	They don't know what you've been through.	Your inner senses are having orgasms right now aren't they?	It’s like your mom stopped existing.	Where did you go?	Whatever.	Think about it. What had to happen one hundred years ago for you to be here right now.	Others think they're being nice but you see right through them.	The way you care for them gives me hope.	If you let go of all thoughts, just for a minute. Wouldn't you intuitively know what to do next?	Find the tense spot. Let go.	Who will stop you?	Is everything always slipping away?	Can you see the finish?	 
