BASE EMOTION	EMOTION	 BODY AREA	PERSON					
angry	annoyed	Feel that area holding something vibrating. It is moving towards your mouth. Through your throat. Trying to get out.	Hear that person chewing very loudly.					
angry	frustrated	You put your hand on that area to make the vibrating stop. You try to control your breathing. Nothing helps. 	Their lips move but you can't hear them. Yell their name. They can hear you but they act like they don't.					
angry	irritated	You put your hand on that area to make the vibrating stop. You try to control your breathing. Nothing helps. 	Hear that person chewing very loudly.					
angry	upset	Feel how that area is trembling. It is supposed to be solid but something is keeping it from being still. A deep roar is too far from your throat to get out. 	Now is your chance to tell them what you really think. How they made you feel. They look smug. 					
angry	angry	Imagine that area being filled by angry bees. You try to shake them off but they won't leave.	Feel the weight of the rock in your hand. Feel the urge of throwing it as hard as you can at the person in front of you. 					
angry	mad	Imagine that area being filled by angry bees. You try to shake them off but they won't leave.	Imagine asking that person for help. They heard you but they don't move. They laugh at you. 					
angry	enraged	Feel and here the loud rumbling in that area. High pressure. Cracks open up to let out lava but the pressure never drops.	Feel the weight of the rock in your hand. Feel the urge of throwing it as hard as you can at the person in front of you. 					
angry	furious	Imagine that area growing and burning and festering like touching an open sore.	Imagine that person betraying you and then shrugging.					
envious	jealous	Imagine a piece of that area missing. You see it in someone else. No matter how hard you try to bring it back you can’t even reach it.	Imagine pushing them as hard as you can. Did you think it would make you feel better? It won't. 					
envious	envious	Imagine a piece of that area missing. You see it in someone else. No matter how hard you try to bring it back you can’t even reach it.	Imagine them obliviously holding on to your missing piece.					
envious	resentful	Imagine that area beeing filled with black tar. The tar is slowly seeping out. Poisoning the rest of your body.	Imagine pushing them as hard as you can. Did you think it would make you feel better? It won't. 					
depressed	low	Maybe if you try to clean up that area you'll feel better. You make an attempt but don't know where to start. You give up. 	You avoid making eyecontact with them. The less you engage the less you have to pretend. 					
depressed	down	You fail to remember the last time that area got to experience the rays of our sun. It's damp and cold. 	They try to tell you a joke. You're not sure if you missed the punchline. You don't even bother to pretend.					
depressed	grouchy	Maybe if you try to clean up that area you'll feel better. You make an attempt but don't know where to start. You give up. 	You are looking around for them but you can barely see them through the fog.					
depressed	crabby	You fail to remember the last time that area got to experience the rays of our sun. It's damp and cold. 	Hear them complain. 					
depressed	cranky	Feel how the area gets hit by gray, gravel like forces from the outside world. The area cannot withstand. 	They find you laying on the floor next to your bed.					
depressed	grumpy	Feel how the area gets hit by gray, gravel like forces from the outside world. The area cannot withstand. 	Hear them complain. 					
depressed	dejected	Feel the area grow and start to pour out of your body until it fills the room.	You avoid making eyecontact with them. The less you engage the less you have to pretend. 					
depressed	bad	Imagine that area inside your body, all of you inside your dirty PJs, afternoon dragging into evening.	They try to tell you a joke. You're not sure if you missed the punchline. You don't even bother to pretend.					
depressed	gloomy	Feel how the area gets hit by gray, gravel like forces from the outside world. The area cannot withstand. 	You are looking around for them but you can barely see them through the fog.					
depressed	glum	Feel the area grow and start to pour out of your body until it fills the room.	Hear them complain. 					
depressed	miserable	Imagine that area inside your body, all of you inside your dirty PJs, afternoon dragging into evening.	They find you laying on the floor next to your bed.					
depressed	hopeless	Feel the area grow and start to pour out of your body until it fills the room.	You are looking around for them but you can barely see them through the fog.					
depressed	morose	Maybe if you try to clean up that area you'll feel better. You make an attempt but don't know where to start. You give up. 	Hear them complain. 					
depressed	depressed	Imagine that area inside your body, all of you inside your dirty PJs, afternoon dragging into evening.	They find you laying on the floor next to your bed.					
confused	doubtful	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	uncertain	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	indecisive	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	hesitant	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	uneasy	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	confused	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	perplexed	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	distrustful	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	embarrassed	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	lost	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	unsure	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	confounded	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
helpless	vulnerable	Feel how deep the black void in that area is. 	You don't exist to them.					
helpless	alone	Feel the emptiness there. 	They can't see you.					
helpless	distressed	Anything you find in that area is waste. 	They don't want your help. They don't want you there.					
helpless	helpless	Feel the emptiness there. 	You don't exist to them.					
helpless	disappointed	Anything you find in that area is waste. 	They can't see you.					
helpless	lonely	Feel how deep the black void in that area is. 	You don't exist to them.					
helpless	paralyzed	Feel how deep the black void in that area is. 	You don't exist to them.					
helpless	useless	Anything you find in that area is waste. 	They don't want your help. They don't want you there.					
indifferent	tired	Follow that area as it drops down into the ground.	Feel your vision blur as you try to keep listening to them. Try to keep caring. Feel your energy draining.					
indifferent	sluggish	Attempt to scoop it off the floor, feel its weight.	Feel your eyes droop and shoulders slump as you try to get somewhere new with them. It feels impossible.					
indifferent	weary	Follow that area as it drops down into the ground.	Feel your vision blur as you try to keep listening to them. Try to keep caring. Feel your energy draining.					
