afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong
Squint your eyes	Ask them rhetorically “What’s the worst thing that could happen?”	Scream	Ask a question	Give up	Think about how the ways their life is better than yours	Smile	Give up	Tell them “What?”	Try again	Ask a follow up question	Squint your eyes	Smile with your eyes	Look them in their eyes.	Squint your eyes, look up slightly to your right.	Tell them you're amazed and that you want to hear more.	Sigh	Hold on
Don't make eye contact	Tell them to get another drink!	Share your frustrations	Repeat what they just told you	Close your eyes	Admire them	Smile and say thank you	Look at the floor	Stare into the void	Shrug	Lean forward	Back up	Ask them if they have everything they need.	Breathe	Squint your eyes and nod slowly.	Smile with your eyes while raising your eyebrows	Silently mourn a loss	Share your opinion
Tap your fingers on your thigh	Imagine that you know a secret that makes you realize how everything is going to be OK. Think about that secret and nod at them.	Commiserate	Repeat what they just said	Look down	Imagine how your life would be easier if you were them	Make eye contact	Stop trying	Look at them like you can see their mouth moving but you don't know what they're saying	Ignore them	Nod encouragingly	Shake head	Tell them that you are there for them.	Relax your shoulders	Ask them if they think there is another way.	What they are saying is empowering you.	Mention something you're missing	Stand by your beliefs
Quick! Smile so they don't notice you're onto them.	Ask them if they want to go to Disneyland with you.	Raise your voice	Forget	Sigh	Widen your eyes	Hold their gaze	Ask "What's the point?"	Look at them with a blank face and slowly shake your head	Half listen to what they're saying	Say "tell me more"	Criticize	Ask them what they need.	Listen	Tell them that you are open for other solutions	Tell them that you just had a great idea.	Indulge the melancholy	Hold your ground
Open your mouth to say something then close it.	Tell them “Sure! I'll have another drink!”	Criticize	Change the subject	Ignore what they're saying	Look elsewhere	Nod in agreement	Look down	Open your mouth as if you're going to say something	Daydream	Ask questions	Point out problems	Smile with your eyes and nod.	Ask them to go further	Say: “Huh … I have never thought about it that way.”	Tell them that you see the solution now.	Slump your shoulders	Nod casually
Glance behind your shoulder	Tell them that no one’s really in charge here so any ideas are on the table.	Harbor resentment	Disagree	Shrug	Talk about what you want	Increase your energy	Flail around	Stand up and stare into the void	Look at the walls	Look at them closely	Contradict	Smile without showing your teeth.	Say "Tell me more"	Breath in deeply	Tell them “yes and …”	Talk quietly	Lean back
You know that their intentions are bad but tell them thank you for being so kind.	Inhale deeply	Provoke them	Change your mind	Wrap your arms around yourself	Imagine how things could be different	Affirm what they're saying	Glaze over your eyes	Protect yourself	Tap your fingers together while you count	Observe	Disregard what they're saying	Look them deep into their eyes.	Ask questions	Reflect on what is ok right now	You can help each other out.	Lower your voice	Let go of worries
Look away	Talk slightly louder than normal	Adamantly disagree	Are you sure? Try reconsidering	Stare into the distance	Wish	Remember the best thing that happened this week	Breathe rapidly	Rock back and forth	Let it go	Pay attention	Reiterate	Exude warmth	Reflect on what they're saying	Let it go	Take a deep breath and nod intensely	Mention a long ago friend	Think of all the tasks you checked off your todo list last week
What's the worst that could happen? Imagine that.	Notice your surroundings	Refute	Say the first thing that comes to mind	Ignore	Dream	Exude warmth	Reject reassurance	Wrap your arms around yourself	Nod	Consider how they're feeling	Shake your head in disbelief	Hold them close	Consider your context	Repeat a calming phrase to yourself	Agree	Close yourself	Push on
Indulge your worries	Take notice of you smell	Disregard what they're saying	Look in the other direction	Disengage	Want	Make a joke	Let go	Consider where you're currently holding pain in your body	Count the spots on the wall	Imagine you are them	Ask for more	Invite them in	Lean forward	Agree with them	Nod supportively	Look down	Keep going
Share your fear	Look closely at them	Point out problems	Ask "Why?"	Forget	Talk about your desires	Laugh together	Slump in your seat	Let the pain radiate	Look past them	Make eye contact	Look past them	Praise them	Open your eyes wider	Center yourself	Affirm them	Share a moment of sadness	Let go of fears
Glance around to stay aware	Wonder	Contradict	Give them a quizzical look	Lower your voice	Indulge your fantasies	Bounce in your seat	Think about all the times you couldn't do enough	Push back	Daydream	Ask "How does that make you feel?"	Sigh	Compliment	Relax your posture	Invite them in	Encourage	Remember	Go where you haven't before
Don't let your guard down	Ask a follow-up question	Express dissatisfaction with something they're saying	Raise your eyebrows	Retreat into yourself	Daydream about being someone else	Sway with the music	Talk about the things you can't control	Clench your jaw	Let your mind wander	Imagine more possibilities for what they're saying	Furrow your brow	Affirm	Release your grip	Let the conversation wash over you	Breathe deeply	Let yourself go down there	Ask a real question
Doubt what you're being told	Say whatever is on your mind!	Disagree	Consider the opposite of what you're discussing	Let go	Talk about what you don't have	Let go	Consider the scale of the world	Stiffen your back	Forget what they said	Push them further	Tilt your head back	Be patient	Give in	Rock softly back and forth	Sit up straighter	Don't look them in their eyes. If you do you'll start crying.	Hold space
