afraid	alive	angry	confused	depressed	envious		happy	helpless	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong	
Quand as-tu réalisé pour la première fois que tu ne peux pas te faire confiance ?	Qu'est-ce que le pire qui puisse arriver ?	Vas-tu vraiment la laisser s'en tirer comme ça ?	Que se passerait-il si tu leur envoyais un message ?	Que fais-tu quand toutes tes options sont mauvaises ?	Ils ont le privilège de tenir la main de celui·celle à qui tu penses.		Tu es actuellement dans un très bon endroit.	Que cherches-tu à prouver ?	Pourquoi est-ce toujours à moi que cela arrive ?	Jusqu'où cela peut-il aller ?	Tu n'es pas ça. Tu es meilleur·e.	Elle a de la chance de t'avoir qui prends soin d'elle de cette manière.	Écoute.	As-tu regardé les choses de son point de vue ?	Tu n'as pas besoin d'un plan. Tu sais déjà comment commencer.	Pourquoi fais-tu semblant que tout va bien ?	Quelle vérité reste-t-il une fois que tu as cessé d'analyser ?	 
Pourquoi est-ce que ton instinct et ton cerveau ne sont jamais d'accord ?	Prends un autre verre !	Peu importe à quel point tu l'ignores, c'est déjà sous ta peau.	Devrais-tu le faire ?	Pourquoi ne peux-tu pas te débarrasser de ce sentiment de vacuité ?	Ce n'est pas juste.		Peux-tu le croire ?	Comment cela pourrait-il bien se terminer ?	Combien de fois dois-je le dire ?	Qu'est-ce qui rend leur énergie si spéciale ?	Pour quoi n'as-tu aucune patience ?	Tu lui as fait ressentir ce qu'il mérite de ressentir.	Respire.	Penses-tu que cela a à voir avec elle ou avec toi ?	Tu n'es pas différent·e d'elle. Si elle peut le faire, tu le peux aussi.	On dirait que tu as besoin d'une main à tenir.	Tu peux leur dire qu'ils doivent assumer leur propre responsabilité.	 
Tu sais qu'ils savent.	Tout ton corps sait que tout va bien.	Pourquoi ta mâchoire est-elle si tendue ?	Et si leur réponse n'est pas du tout ce à quoi tu t'attends ?	Est-ce que chaque jour va être comme ça ?	Pourquoi es-tu le seul à voir à quel point c'est faux ?		Des endroits fantastiques comme celui-là existent vraiment !	Te demandes-tu parfois si cela vaut la peine d'essayer ?	Comment peuvent-ils me demander cela ?	Jette un regard profond sur toi-même. Il y a tellement là  !	Tu ne descendrais jamais à ce niveau-là.	Continue à les faire se sentir en sécurité.	Libère le bruit.	Aurais-tu pu changer quelque chose ?	Ignore ce que tu as appris. Tu sais quoi faire.	Le contour de ta présence semble fragile.	La vérité, c'est que tu as peur.	 
Les indices sont partout. Accroche-toi simplement aux bonnes pensées. Elles sont là-dedans.	Tu te rappelles de ce projet important sur lequel tu travaillais ? Ce n'est qu'une illusion.	Tu vois la solution, alors pourquoi ne la saisis-tu pas ? Tu ne peux pas l'atteindre, n'est-ce pas ?	Sais-tu ce que tu risques ?	Es-tu simplement en train de flotter dans un désert de néant ?	J'aimerais que tu puisses être heureux·se pour eux. Pourquoi ne le peux-tu pas ?		As-tu entendu ce que j'ai dit ? Les papillons dans ton estomac te font perdre ta concentration.	Qu'as-tu à perdre ?	Quand est-ce que ça suffit ?	Laisse ton esprit se détendre.	Ils n'utilisent pas leur tête comme tu le fais.	Où ressens-tu cela dans ton corps quand tu te sens tendre ? Sens comment cette zone devient de plus en plus chaude.	Détends tes épaules.	Aurais-tu dû changer quelque chose ?	Tu débordes d'idées géniales.	Ta voix tremble.	Tu as la confiance nécessaire pour leur dire exactement ce qui s'est passé.	 
Réévalue-toi.	Je sais que tu veux jouer à un jeu charmant et dangereux.	Ça ne devrait pas être comme ça.	Qu'est-ce qui changerait tout ?	Pourquoi ton corps semble-t-il si lourd ?	Pourquoi te sens-tu malade et en colère chaque fois que quelqu'un mentionne son nom ?		Trouve en toi cet endroit qui se souvient de ce que signifie avoir un but.	Honnêtement, quel est le problème ?	Qu'est-ce que ça te fait ?	Déplace ta respiration de tes poumons vers ton estomac.	Ils sont paresseux. Je sais que tu le penses aussi.	Il y a une lueur autour de toi. La ressens-tu ?	Y a-t-il une façon de le regarder où tu ne vois que des possibles ? Tu sais que oui.	Y a-t-il un point idéal entre tes attentes et tes capacités ?	Et si tu le faisais d'une manière encore plus intéressante ?	S'il y a quelqu'un qui peut t'empêcher de te disperser, tu devrais le leur dire.	Tout ce que tu as toujours voulu, c'est plus.	 
Tu as tout mis ensemble, n'est-ce pas ? Comment peux-tu être sûr que les pièces s'emboîtent ?	Tu sais quoi ? Vas-y !	Quand as-tu été lésé·e ?	En as-tu parlé à ta mère ?	Honnêtement, quelle est la raison d'être ?	On ne te reconnaît pas comme il se doit.		En considérant la personne que tu es aujourd'hui, comment pourrais-tu regretter quoi que ce soit ?	Te sens-tu seul·e ?	Quel est l'intérêt ?	Un faisan et un lapin peuvent-ils partager une connexion spéciale ?	Je pense que tu es le seul à réellement te soucier de la précision.	À qui penses-tu quand tu te sens tendre ?	Bien joué.	Comment prenons-nous tant de choses pour acquises alors que tout change constamment ?	La seule chose qui reste quand j'arrête d'analyser, c'est : j'adore t'avoir autour.	Pourquoi ta respiration est-elle si superficielle ? Elle ne va pas plus loin que ta poitrine.	Tu es prêt·e pour cela.	 
Sors de ta propre tête.	Vas-y ! Quel est le mal ?	Qu'est-ce qui te rend fou/folle ?	Tu ne sais même pas ce qui pourrait aider à éclaircir ton esprit, n'est-ce pas ?	Quelle est la raison d'être ?	Comment ont-ils pu ?		J'adore que tu ne puisses pas arrêter de sourire.	Tu dois faire mieux la prochaine fois.	Laisse faire.	Pendant combien de temps un couteau dans un cerveau peut-il passer inaperçu ?	Je sais ce que tu penses. Ils sont un gaspillage d'esprits humains.	Vois comment cette personne a tout ce dont elle a besoin grâce à toi.	Regarde-toi  ! Tu es certainement en contrôle.	Pourquoi as-tu choisi de ne pas leur dire ce que tu ressentais ?	Qu'y a-t-il d'autre à dire ?	Pourquoi te sens-tu si seul·e ?	Tu peux continuer.	 
Quand as-tu vraiment fait tes comptes pour la dernière fois ?	Tu n'as pas peur des conséquences parce que tu es plus fort·e qu'elles.	Ils doivent arrêter d'agir de la manière dont ils le font envers toi.	Soupir. Que devrais-tu faire ?	Pourquoi es-tu ici ?	Tu pourrais tuer la prochaine personne qui se vante d'avoir ce que tu n'as pas.		Tu as l'air détendu·e. Cela me réchauffe.	Tu devrais être plus comme eux·elles.	C'est toujours la même chose.	Qu'est-ce qui te surprend chez toi ?	Tu es plus digne que les autres et tu le sais.	Sens comment la zone chaude se propage et devient plus grande.	Tu es spécial·e et tu sais exactement de quelle manière.	Ta respiration est régulière et profonde.	Tu ne crains rien.	On peut être très proche de quelqu'un un jour et disparu le lendemain.	Tu veux ça.	 
As-tu éteint la cuisinière avant de partir ?	Rien ne te fait peur.	S'ils ne s'arrêtent pas, tu finiras par les détester.	Peut-être pourrais-tu ? Juste un peu ?	Qu'est-ce qui rend quelque chose si spécial ?	Tu pourrais être plus heureux·se si les choses étaient différentes.		Tu attires des personnes merveilleuses.	Tu devrais t'intéresser aux bonnes choses.	Ça n'a pas d'importance.	Qu'est-ce qui prouve que tout est relatif ?	Regarde comme ils sont faux  !	Souviens-toi de ce que ça faisait la première fois que tu les as embrassés.	Laisse pénétrer cette dernière idée un moment.	Sens-tu l'air toucher ton visage ?	Tu as tout le pouvoir.	Pourrais-tu rester en place si tu étais moins imprudent·e, plus satisfait·e ?	À quel point le veux-tu ?	 
Est-ce que tu sens le gaz ? Je pense sentir le gaz.	Tu as été licencié·e ? C'est une bonne chose pour toi ! Nouveaux départs !	Il n'y a pas de gagnants.	Tu te tiens à l'intersection de deux réalités différentes.	Pourquoi quelqu'un se soucierait-il ?	Ils ne savent pas ce que tu as vécu.		Tes sens intérieurs sont en extase en ce moment, n'est-ce pas ?	On dirait que ta mère a cessé d'exister.	Peu importe.	Pense-y. Qu'est-ce qui devait arriver il y a cent ans pour que tu sois ici en ce moment ?	Les autres pensent être gentils, mais tu les vois à travers.	La manière dont tu prends soin d'eux me donne de l'espoir.	Si tu lâches toutes les pensées, juste pendant une minute. Ne saurais-tu pas intuitivement quoi faire ensuite ?	Trouve le point tendu. Lâche prise.	Qui va t'arrêter ?	Tout glisse-t-il toujours entre tes doigts ?	Peux-tu voir l'arrivée ?	 
