afraid	afraid-subs	alive	alive-subs	angry	angry-subs	confused	confused-subs	depressed	depressed-subs	envious	envious-subs	happy	happy-subs	helpless	helpless-subs	hurt	hurt-subs	indifferent	indifferent-subs	interested	interested-subs	judgemental	judgemental-subs	loving	loving-subs	open	open-subs	peaceful	peaceful-subs	positive	positive-subs	sad	sad-subs	strong	strong-subs
hi	hello	hi	HI	hi	what	hi	hello	nice	fine	see	want	say	share	understand	give up	nice	fine	nice	fine	hi	HI	hi	what	say	offer	say	offer	say	offer	say	offer	nice	fine	hi	HI
ok	ak	hello	HELLO	hello	what	you	me	great	ok	have	need	can't	can	understanding	giving up	great	ok	great	ok	hello	HELLO	hello	what	say	share	say	share	say	share	say	share	great	ok	hello	HELLO
fine	nervous	ok	thriving	ok	frustrating	sure	uncertain	good	whatever	want	desire	won't	will	light	dark	good	whatever	good	whatever	ok	thriving	ok	frustrating	can't	can	can't	can	can't	can	can't	can	good	whatever	ok	thriving
good	worrying	fine	good	good	ok	why	why not	bad	awful	some	more	know	believe	help	ignore	bad	awful	bad	awful	fine	good	good	ok	won't	will	won't	will	won't	will	won't	will	bad	awful	fine	good
bad	worse	good	great	great	a lot	where	how	sad	depressed	good	better	if	when	calm	worried	sad	depressed	sad	depressed	good	great	great	a lot	know	believe	know	believe	know	believe	know	believe	sad	depressed	good	great
weird	scary	bad	hopeful	bad	terrible	what	why	happy	bored	mine	yours	just	 	ok	alone	happy	bored	happy	bored	bad	hopeful	bad	terrible	if	when	if	when	if	when	if	when	happy	bored	bad	hopeful
normal	strange	maybe	certainly	some	too much	maybe	never	together	alone	my	your	maybe	definitely	here	leave	together	alone	together	alone	maybe	certainly	some	too much	just	 	just	 	just	 	just	 	together	alone	maybe	certainly
think	worry	tired	awake	maybe	no	me	them	very	somewhat	our	my	ok	cool	very	somewhat	very	somewhat	very	somewhat	tired	awake	maybe	no	maybe	definitely	maybe	definitely	maybe	definitely	maybe	definitely	very	somewhat	tired	awake
know	discourage	distracted	focused	know	resent	here	there	excited	anxious	ours	mine	good	super	excited	anxious	excited	anxious	excited	anxious	distracted	focused	know	resent	ok	wonderful	ok	wonderful	ok	wonderful	ok	wonderful	excited	anxious	distracted	focused
feel	fear	bored	inspired	see	judge	nowhere	everywhere	hope	worry	we	they	bad	all right	hope	worry	hope	worry	hope	worry	bored	inspired	see	judge	good	super	good	super	good	super	good	super	hope	worry	bored	inspired
aware	wary	here	present	seeing	judging	now	later	share	tell	more	much more	sometime	soon	share	tell	share	tell	share	tell	here	present	seeing	judging	bad	all right	bad	all right	bad	all right	bad	all right	share	tell	here	present
awareness	wariness	big	huge	believe	doubt	soon	never	want	need	give	take	any	all	want	need	want	need	want	need	big	huge	believe	doubt	sometime	soon	sometime	soon	sometime	soon	sometime	soon	want	need	big	huge
excited	anxious	doing	living	believing	doubting	happy	unsure	you	anyone	admire	lust for	with	together with	you	nobody	you	anyone	you	anyone	doing	living	believing	doubting	any	some	any	some	any	some	any	some	you	anyone	doing	living
today	tonight	do	be	think	want	great	wrong	here	alone	be	want	thanks	wow thanks	here	alone	here	alone	here	alone	do	be	think	want	with	together with	with	together with	with	together with	with	together with	here	alone	do	be
soon	sometime	want	embrace	eat	consume	yes	no	doing	enduring	fine	jealous	some	fantastic	doing	failing	doing	enduring	doing	enduring	want	embrace	eat	consume	thanks	wow thanks	thanks	wow thanks	thanks	wow thanks	thanks	wow thanks	doing	enduring	want	embrace
can	will	touch	feel	talk	argue	no	ok	night	darkness	enough	lacking	these	great	night	darkness	night	darkness	night	boredom	touch	feel	talk	argue	some	fantastic	some	fantastic	some	fantastic	some	fantastic	night	darkness	touch	feel
walk	run	going	being	speak	complain	there	then	tomorrow	never	think	need	this	amazing	tomorrow	never	tomorrow	never	tomorrow	never	going	being	speak	complain	these	great	these	great	these	great	these	great	tomorrow	never	going	being
slowly	cautiously	tomorrow	soon	say	insist	do	did	near	lost	notice	dislike	near	close to	near	lost	near	lost	near	lost	tomorrow	soon	say	insist	this	amazing	this	amazing	this	amazing	this	amazing	near	lost	tomorrow	soon
sound	noise	about	into	question	bother	want	need	wow	I don't care	dislike	despise	worry	wonder	wow	I don't care	wow	I don't care	wow	I don't care	about	into	question	bother	near	close to	near	close to	near	close to	near	close to	wow	I don't care	about	into
wonder	worry	um	hey	music	noise	think	question	thank you	whatever	wonder	resent	hate	feel for	thank you	whatever	thank you	whatever	thank you	whatever	um	hey	music	noise	hate	feel for	hate	feel for	hate	feel for	hate	feel for	thank you	whatever	um	hey
alert	haunted	sleep	refresh	better	worse	ask	ignore	thanks	fine	curious	envious	see	feel	thanks	sorry	thanks	fine	thanks	fine	sleep	refresh	better	worse	worry	wonder	worry	wonder	worry	wonder	worry	wonder	thanks	fine	sleep	refresh
exactly	sort of 	smart	brilliant	no	shut up	exactly	maybe	smart	average	just	barely	something	energy	trying	quitting	everything	nothing	everything	nothing	tired	aware	no	shut up	see	feel	see	feel	see	feel	see	feel	yes	why	no	all
tired	twitchy	everything	the universe	disagree	fight	everything	something	everything	nothing	exactly	scarcely	have	give	here	away	tired	painful	yes	I guess	omg 	OMG	disagree	fight	something	energy	something	energy	something	energy	something	energy	tired	close to tears	yes	absolutely
both	neither	both	all	share	insult	tired	lost	yes	no	both	their	yes	yay	everything	nothing	take	lose	no	I guess not	Shit	hey	share	insult	tired	fulfilled	take	absorb	tired	calm	no	yes	take	lose	take 	seize
hate	fear	cold	invigorating	smart	stupid	take	lose	no	never	wish	desire	tired	good	yes	no	omg	why	both	none	Help	aid	both	neither	take	share	both	any	take	let go of	yes	absolutely	hate	mourn	both	all
sure	afraid	work	adventure	tired	frantic	both	some	tired	energyless	thinking	wishing	take	gift	take	lose	thinking	aching	hate	forget	Know	absorb	Shit	boo	hate	love	hate	acknowledge	hate	accept	tired	hopeful	bye	farewell	cold	freezing
wish	worry	omg	OMG	take	steal	hate	doubt	take	forget	Help	block	hate	like	both	no	Shit	why	wish	don't care	See	observe	Know	understand	cold	warm	Shit	oh well	Shit	 	take	receive	wish	regret	wish	crave
Shit	Oh shit	thinking	envisioning	both	none	omg	what	both	nothing	Know	suspect	thinking	hoping	thinking	worrying	Help	stop	Shit	sure	Time	era	See	ignore	bye	love you	Know	accept	Know	feel	hate	like	Shit	Why	omg	OMG
Help	Please Help	Shit	wow	cold	freezing	thinking	forgetting	sure	doubtful	See	remark	shit	hooray	Help	save	See	Find out	Help	bare	More	additional	More	excess	Shit	yay	See	mind	See	perceive	bye	see you soon	Please	PLEASE	thinking	envisioning
Know	suspect	Please	Please please please	sure	evident	Shit	what	wish	don't care	Give	hold	Please	Pretty please	Know	misperceive	Could	won’t	Know	care	Last	final	Last	inarguable	Help	support	Time	moment	Time	while	Shit	hooray	Know	endure	Shit	SHIT
See	Sense	Help	support	Help	damage	Know	misunderstand	Help	harm	People	Cattle	Know	grasp	See	erase	Last	definitive	See	neglect	People	explorers	Give	occupy	Know	understand	People	humankind	Last	closing	Know	understand	See	witness	Help	advance
Time	Episode	Know	grasp	Last	Outmost	See	miss	Could	Couldn’t	very	exceedingly	See	Experience	Time	age	Give	deprive	People	commons	Very	amazingly	People	herd	See	notice	Only	mostly	Give	offer	Time	wink	Time	eon	Know	possess
Last	Terminal	See	catch	Give	Force upon	Time	space	Last	bottommost	Find	steal	time	twinkle	Could	can’t	People	Backstabbers	Very	just	Find	discover	Only	simply	Time	moment	Very	altogether	People	world	Could	can	Could	can’t	See	sight
Give	withhold	Time	era	People	Idiots	Could	wouldn’t	Give	withhold	voir	vouloir	Could	can	More	decline	Very	achingly	Find	overlook	salut	SALUT	Very	awfully	Last	crowning	Find	encounter	Very	peacefully	Last	ultimate	More	decline	Time	instant
People	Traitors	Could	can	Very	damn	More	less	Only	alone	avoir	avoir besoin de	Last	absolute	Last	remotest	agréable	bien	agréable	bien	bonjour	BONJOUR	Find	get	People	community	thinking	contemplating	Find	absorb	Give	contribute	Last	terminal	Could	can
Very	Frightfully	Last	ultimate	Find	Hunt down	Last	doubtful	Very	severely	vouloir	désirer	Give	contribute	Give	lose	super	d'accord	formidable	d'accord	d'accord	prospérer	salut	quoi	Only	purely	dire	offrir	thinking	meditating	People	world	Give	pay	More	additional
Find	Dig out	Give	gift	shit	SHIT	Give	preserve	agréable	bien	quelques	plus	People	world	People	enemies	bien	quoi que ce soit	bon	peu importe	bien	bien	bonjour	quoi	Very	Fabulously	dire	partager	dire	offrir	Only	exclusively	People	Lost ones	Last	decisive
salut	bonjour	People	Fellow humans	salut	quoi	People	some	formidable	d'accord	bon	meilleur	Only	purely	Very	Barely	mauvais	affreux	mauvais	affreux	bon	grand	d'accord	frustrant	dire	offrir	ne peux pas	pouvoir	dire	partager	Very	Mighty	Very	deadly	Give	present
ok	ak	Only	exclusively	bonjour	quoi	Only	even	bien	peu importe	mien	le tien	Very	fantastically	Find	miss	triste	déprimé	triste	déprimé	mauvais	plein d'espoir	bien	d'accord	dire	partager	ne va pas	volonté	ne peut pas	pouvoir	Find	discover	Find	misplace	People	humanity
